CODIGO;NOMBRE;CREDITOS;ESCUELA;AREA;PREREQUISITOS;POSTREQUISITOS;CATEGORIA;LABORATORIO;RESTRICCION
114;Mate Intermedia 3;5;Ciencias;Departamento de Matem tica;107;90,250,300,172,116,118,200;Obligatoria;No;0
152;F¡sica 2;6;Ciencias;Depto. de F¡sica;107,150;3684,52,200;Obligatoria;Si;0
11;Idioma T‚cnico 4;2;Ciencias;Idioma T‚cnico;9;0;Obligatoria;No;0
22;Psicolog¡a Industrial;3;Mec nica Industrial;Administrativa;0;658;Obligatoria;No;90
650;Contabilidad 1;3;Mec nica Industrial;Administrativa;0;652,632;Obligatoria;Si;90
662;Legislaci¢n 1;3;Mec nica Industrial;Administrativa;0;664;Obligatoria;No;90
368;Principios de Metrolog¡a;3;Ingenier¡a Qu¡mica;Qu¡mica;732,152,348;0;Opcional;No;0
90;Programaci¢n de Computadoras 1;3;Ciencias y Systemas;Programaci¢n;114,732;92;Obligatoria;No;0
734;Estad¡stica 2;5;Ciencias;Estadistica;732;737,638,660,668;Obligatoria;No;0
474;Introducci¢n a la Ingenier¡a Petrolera;3;CESEM;Pregrado;107,150;0;Opcional;No;90
250;Mec nica de Fluidos;6;Ingenier¡a Civil;Hidra£lica;114,170;0;Obligatoria;No;0
300;Resistencia de Materiales;5;Ingenier¡a Civil;Estructuras;114,170;302;Obligatoria;Si;0
452;Ciencia de los Materiales;5;Ingenier¡a Mec nica;Materiales;152;520,454;Obligatoria;No;0
172;Mec nica Anal¡tica 2;5;Ciencias;F¡sica;114,170;0;Opcional;No;0
116;Mate Aplicada 3;5;Ciencias;Departamento de Matem tica;112,114;;Obligatoria;No;0
118;Mate Aplicada 1;6;Ciencias;Departamento de Matem tica;112,114;122;Opcional;No;0
28;Ecolog¡a;3;Ingenier¡a Qu¡mica;Qu¡mica;0;;Obligatoria;No;90
700;Ingenier¡a Econ¢mica 1;5;Ingenier¡a Civil;Planeamiento;732;702;Obligatoria;No;0
200;Ing. El‚ctrica 1;5;EIME;Ciencias Basicas y El‚ctronica;114,152;202;Obligatoria;Si;0
660;Mercadotecnia 1;3;Industrial;Administrativa;732;0;Obligatorio;No;0
658;Administraci¢n de Personal;3;Industrial;Administrativa;22;0;Obligatorio;Si;0
652;Contabilidad 2;3;Industrial;Administrativa;650;654,665;Obligatorio;Si;0
664;Legislacion 2;3;Industrial;Administrativa;662;0;Obligatorio;No;0
632;Ingenieria de Plantas;5;Industrial;Producci¢n;650,732;634;Obligatorio;Si;0
601;Investigaci¢n de Operaciones 1;5;Industrial;M‚todos Cuantitativos;90;602;Obligatorio;Si;0
92;Programaci¢n de Computadoras 2 ;4;Ciencias y Sistemas;Programaci¢n;90;0;Obligatorio;Si;0
390;Termodinamica 1;5;Ingenieria Mecanica;Termica;250;292;Obligatorio;Si;0
520;Procesos de Manufactura 1;3;Ingenieria Mecanica;Materiales para Ingenieria;452;522;Obligatorio;Si;0
202;Ingenieria Electrica 2;6;Ingenieria Mecanica;Ciencias B sicas y Electrotecnia;200;0;Obligatorio;Si;0
454;Metalurgia y Metalografia;6;Ingenieria Mecanica;Materiales para Ingenieria;452;0;Opcional;Si;0
14;Econom¡a 1 ;4;Ciencias y Sistemas;Metodolog¡a de Sistemas;732;0;Opcional;No;0
302;Resistencia de Materiales 2;5;Ingenieria Civil;Estructuras;300;0;Opcional;Si;0
122;Matematica Aplicada 4;4;Ciencias ;Departamento de Matem tica;118;0;Opcional;No;0
702;Ingenieria Economica 2;5;Ingenieria Civil;Planeamiento;200;0;Opcional;Si;0
669;Economia Industrial;3;Industrial;Administrativa;665;0;Opcional;No;0
661;Mercadotecnia 2;3;Industrial;Administrativa;660;0;Opcional;Si;0
656;Administraci¢n de Empresas 1;5;Industrial;Administrativa;0;657;Obligatorio;Si;150
665;Microeconomia;3;Industrial;Administrativa;632,650,700;669;Obligatorio;Si;0
654;Contabilidad 3;3;Industrial;Administrativa;652;0;Obligatorio;Si;0
634;Ingenieria de Metodos;6;Industrial;Administrativa;632,734;636,638;Obligatorio;Si;0
642;Seguridad e Higiene Industrial;3;Industrial;Producci¢n;202;0;Obligatorio;Si;0
603;Investigaci¢n de Operaciones 2;5;Industrial;Metodos Cuantitativos y Econom¡a;601;606;Obligatorio;Si;0
667;Programaci¢n Comercial 1;3;Ciencias y Sistemas;Programaci¢n Comercial 1;90,632;0;Obligatorio;Si;0
522;Procesos de Manufactura 2;3;Ingenieria Mecanica;Dise¤o;520;0;Opcional;Si;0
508;Montaje y Mantenimiento de Equipo;5;Ingenieria Mecanica;Complementaria ;520;0;Opcional;No;0
335;Gesti¢n de Desastres;3;Ingenieria Civil;C.E.S.E.M;632;0;Opcional;No;0
392;Termodinamica 2;5;Ingenieria Mecanica;Termica;390;504,506;Opcional;No;0
524;Dise¤o de Maquinas 1;6;Ingenieria Mecanica;Dise¤o;302,452;0;Opcional;No;0
2036;Practica Intermedia ;0;Ciencias;Ninguna;658,664,632,2025;2005;Obligatorio;No;150
606;Analisis de Sistemas Industriales;0;Industrial;Metodos Cuantitativos y Econom¡a;603;0;Opcional;No;0
657;Administraci¢n de Empresas 2;3;Industrial;Administrativa;656;0;Obligatorio;No ;0
636;Dise¤o para la Producci¢n;5;Industrial;Producci¢n;634;0;Obligatorio;No;0
644;Ingenieria Textil;4;Industrial;Producci¢n;634;0;Opcional;No;0
638;Controles Industriales;6;Industrial;Producci¢n;634,734;640;Obligatorio;No;0
668;Econometria;5;Industrial;Metodos Cuantitativos y Econom¡a ;734;0;Opcional;No;0
604;Investigaci¢n de Operaciones 3;5;Industrial;Metodos Cuantitativos y Econom¡a ;603;0;Opcional;Si;0
737;Estadistica 3 ;5;Ciencias;Estadistica;734;0;Opcional;No;0
506;Plantas de Vapor;5;Ingenieria Mecanica;Materiales para Ingenieria;392;0;Opcional;No;0
504;Motores de Combusti¢n Interna;5;Ingenieria Mecanica;Potencia;392;0;Opcional;Si;0
1;Etica Profesional;4;Ciencias;Humanistica;0;0;Opcional;No;200
7995;Seminario de Investigaci¢n;4;Ciencias y Sistemas;Metodolog¡a de Sistemas;0;0;Obligatorio;No;200
706;Preparci¢n y evaluaci¢n de proyectos;4;Ingenieria Civil;Planeamiento;700;708;Obligatorio;Si;0
640;Control de Producci¢n;6;Industrial;Producci¢n;638;0;Obligatorio;Si;0
439;Ingenieria Textil 2;4;Industrial;Producci¢n;644;0;Opcional;No;0
288;Introducci¢n a la Evaluaci¢n de Impacto Ambiental;4;Ingenieria Civil;Planeamiento;0;0;Opcional;No;190
7990;Seminario de Investigaci¢n EPS;4;;EPS;0;0;Obligatorio;No;225
2005;Practica Final;;;EPS;2036;0;Obligatorio;No;200
3710;Planeamiento;6;Ingenieria Civil;Planeamiento;0;0;Opcional;No;190
708;Preparci¢n y evaluaci¢n de proyectos 2;4;Industrial;Administrativa;706;0;Obligatorio;No;0
