CODIGO;NOMBRE;CREDITOS;ESCUELA;AREA;PREREQUISITO;POSTREQUISITO;CATEGORIA;LABORATORIO;RESTRICCION;SEMESTRE
736;Analisis Probabilistico;4;Ciencias;Estadistica;732;724;Obligatoria;No;0;5
777;Organizacion de Lenguajes y Compiladores 1;4;Ciencias y Sistemas;Ciencias de la Computacion;771, 796, 962;7781, 2036;Obligatoria;Si;0;5
964;Organizacion Computacional;3;Ciencias y Sistemas;Ciencias de la Computacion;152, 771, 962;778;Obligatoria;Si;0;5
772;Estructura de Datos;5;Ciencias y Sistemas;Desarrollo de Software;771, 796, 962;722, 781, 773;Obligatoria;Si;0;5
18;Filosofia de la Ciencia;3;Ciencias;Social Humanistica;19;0;Opcional;No;90;5
116;Matematica Aplicada 3;5;Ciencias;Matematica Basica;112, 114;0;Obligatoria;No;0;5
118;Matematica Aplicada 1;6;Ciencias;Matematica Basica;112, 114;122, 120;Obligatoria;No;0;5
368;Principios de Metrologia;3;Ciencias;Quimica;732, 152, 348;0;Opcional;No;0;5
650;Contabilidad 1;3;Ciencias;Administrativa;0;0;Opcional;No;90;5
28;Ecologia;3;Ciencias;Quimica;0;0;Opcional;No;90;5
722;Teoria de Sistemas 1;5;Ciencias y Sistemas;Sistemas;732,772,116,118;;Obligatoria;Si;0;6
601;Investigacion de Operaciones 1;5;Mecanica Industrial;Industrial;771,732;;Obligatoria;No;0;6
14;Economia;4;Ciencias y Sistemas;Sistemas;732;;Obligatoria;No;0;6
781;Org. Lenguajes y Compiladores 2;5;Ciencias y Sistemas;Sistemas;777,772;;Obligatoria;Si;0;6
778;Arg. Compu y Ensambladores 1;5;Ciencias y Sistemas;Sistemas;796,964;;Obligatoria;Si;0;6
773;Manejo E Implementacion De Archivos;4;Ciencias y Sistemas;Sistemas;772,796;;Obligatoria;Si;0;6
122;Mate Apicada 4;4;Ciencias;Matematica;118;;Opcional;No;0;6
120;Mate Aplicada 2;6;Ciencias;Matematica;114,152;;Opcional;No;0;6
200;Ing. Electrica 1;5;Ciencias;Electrica;114,152;;Opcional;Si;0;6
652;Contabilidad 2;3;Ciencias;Contabilidad;650;;Opcional;No;0;6
